label,fallacy_example,non-fallacy_example
false causality,"P1. Un estilo de vida sedentario contribuye a la obesidad. P2. La gente se ha vuelto más sedentaria en las últimas décadas. C. Por lo tanto, el aumento de la obesidad puede solucionarse si la gente hace más ejercicio.",
false causality,"P1. Se ha demostrado empíricamente que el tabaquismo causa cáncer de pulmón. C. Por lo tanto, si erradicamos el tabaquismo, erradicaremos el cáncer de pulmón.",
false causality," Doug está convencido de que tiene ropa interior de la suerte. Una vez que se olvidó de ponerse los calzoncillos de la suerte, le pusieron una multa de aparcamiento. Doug llega a la conclusión de que, como se olvidó de ponerse los calzoncillos de la suerte, le pusieron la multa. Doug no lava su ropa interior de la suerte a menudo. Esta parte no es relevante para el ejemplo, pero no deja de ser inquietante.",
false causality," Tony: Compré un libro sobre la ley de la atracción y dos días después gané 30.000 dólares en la lotería. Antes no creía en la ley de la atracción, ¡pero ahora sí!",
false causality,"Muchos homosexuales tienen SIDA. Por lo tanto, la homosexualidad causa el SIDA.",
false causality,"Jen: ¿No te das cuenta de que toda esta bebida que estás haciendo está haciendo que tu familia sea miserable? Bridget: Sí, me doy cuenta. Jen: Entonces, ¿qué estás haciendo al respecto? Bridget: Beber para olvidar.",
false causality,"David: Tenemos demasiada presencia policial en esta ciudad. Pete: ¿Qué vas a hacer al respecto? David: Vandalizar, saquear, y tal vez un pequeño incendio provocado.",
false causality,"""La temperatura ha bajado esta mañana y también me duele la cabeza. Por lo tanto, el frío debe ser la causa de mi dolor de cabeza. """,
false causality,"Cada vez que lavo mi coche, llueve al día siguiente. Definitivamente, el lavado de mi coche afecta al clima.",
false causality,"Sin embargo, el momento en que los niños son vacunados y el momento en que se les diagnostica están estrechamente correlacionados, lo que lleva a los padres disgustados a culpar a las inmunizaciones, a falta de una mejor explicación.",
false causality,Atribuir la causa de la Segunda Guerra Mundial únicamente al odio de Adolf Hitler hacia los judíos,
false causality,Sugerir que John F. Kennedy ganó la presidencia a Richard Nixon exclusivamente por el debate en televisión,
false causality,Creyendo que la causa de la Reforma fue simplemente que Martín Lutero publicara sus tesis,
false causality,Explicar que la Guerra Civil de Estados Unidos se libró sólo por la institución de la esclavitud,
false causality,"Me dolía mucho la cabeza y fui a ver a mi médico.  Sólo con hablar con él, mi dolor de cabeza empezó a remitir, y al día siguiente estaba mejor.  Valió la pena pagar los 200 dólares de la visita.",
false causality,"Después de la operación, mi mujer no estaba muy bien, tenía mucho dolor.  Compré estas pulseras magnéticas que se alinean con las vibraciones naturales del cuerpo para reducir el dolor, y efectivamente, ¡unos días después el dolor disminuyó!  ¡Gracias a las pulseras mágicas!",
false causality,"Lolita: Dado que aproximadamente la mitad de las personas del mundo son mujeres, las probabilidades de que la siguiente persona que salga por esa puerta sea una mujer son aproximadamente del 50%. Celina: ¿Te das cuenta de que esa es la puerta del Dr. Vulvastein, el ginecólogo?",
false causality,"Creer que las ""carreras"" se producen a fenómenos estadísticamente independientes, como las vueltas de la ruleta.",
false causality,Esta moneda ha salido cara nueve veces seguidas. Así que es probable que caiga de cola la próxima vez que se lance.,
false causality,"Dijiste que las ""carreras"" ocurren a fenómenos estadísticamente independientes, como los giros de la ruleta.",
false causality,"He sacado cara cinco veces seguidas.  Como resultado, el próximo lanzamiento será probablemente cruz.",
false causality,"Eric: Para mis números de la lotería, elegí 6, 14, 22, 35, 38, 40.  ¿Qué elegiste tú? Steve: Elegí 1, 2, 3, 4, 5, 6. Eric: ¡Idiota!  ¡Esos números nunca saldrán!",
false causality,"Maury: Por favor, ponga todas mis fichas en el 21 rojo. Distribuidor: ¿Estás seguro de que quieres hacer eso?  El 21 rojo acaba de salir en la última tirada. Maury:  ¡No sabía eso!  Gracias.  Ponlo en el 15 negro en su lugar.  ¡No puedo creer que casi cometí ese error!",
false causality,"El gobernador emite una proclama para que los habitantes de su estado recen para que llueva.  Varios meses después, llueve.  Alabados sean los dioses.",
false causality,"Me niego a alojarme en la planta 13 de cualquier hotel porque da mala suerte.  Sin embargo, no me importa alojarme en la misma planta siempre que la llamemos planta 14.",
false causality,"Sabía que debería haber ayudado a esa anciana del otro lado de la carretera.  Como no lo hice, he tenido mal karma todo el día.",
false causality,"""Si un gato negro se cruza en tu camino tendrás mala suerte"".",
false causality,"La administración de equinocandinas en esta paciente ha sido una opción muy acertada. La fiebre ha cedido, junto con el resto de las manifestaciones sépticas, en menos de 48 horas. La correlación cronológica me basta. Estoy convencido de que se trata de una infección fúngica.",
false causality,"Cada vez que se sacrifican vírgenes, llueve. Por lo tanto, sacrificar vírgenes hace que llueva.",
false causality,"La violencia entre los adolescentes ha aumentado en los últimos cinco años. El uso de videojuegos entre los adolescentes también ha aumentado en los últimos cinco años. Por lo tanto, jugar a los videojuegos hace que los adolescentes sean violentos.",
false causality,"Cada vez que llevo este collar, apruebo mis exámenes. Por lo tanto, llevar este collar hace que apruebe mis exámenes.",
false causality,"Todas las personas que han bebido agua han muerto. Por lo tanto, beber agua causa la muerte.",
false causality,"Utah aprobó una estricta ley de control de armas, y el crimen allí disminuyó. Por lo tanto, las leyes de control de armas disminuyen la delincuencia.",
false causality,"""En sus orígenes [el sida] era una enfermedad enteramente sodomita... Que el primer caso se diagnosticara poco más de una década después de que el movimiento de los llamados ""derechos de los homosexuales"" y del ""orgullo gay"" cobrara impulso y fuerza no puede ser una coincidencia."" - Harry Jaffa, profesor emérito de Filosofía Política en el Claremont McKenna College",
false causality,"""El presidente Jones subió los impuestos, y entonces la tasa de crímenes violentos subió. Jones es responsable del aumento de la delincuencia"".",
false causality,"Todas las mañanas salgo al porche de mi casa y grito: ""¡Que no entren tigres en esta casa!"" y durante 20 años no ha entrado ni un solo tigre en mi casa. Está claro que mi estrategia de prevención contra los tigres funciona.",
false causality,Hace frío en un día de verano. El calentamiento global es un engaño.,
false causality,Nunca he tenido gripe porque tomo mis vitaminas todos los días.,
false causality,"Cada vez que ese gallo canta, sale el sol. ¡Ese gallo debe ser muy poderoso e importante!",
false causality,"Creo en los seres sobrenaturales porque cada vez que paso con el coche por el cementerio donde está enterrada mi abuela, una luz del salpicadero parpadea.  Su espíritu es el causante de esto porque nunca ocurre de otra manera.",
false causality,Jimmy no está en la escuela hoy. Debe estar en un viaje familiar.,
false causality,"Bush estaba ""decidido a derribar a Saddam Hussein"" por su ""potencial de bomba nuclear"".",
false causality,A mi hijo le diagnosticaron autismo después de recibir las vacunas. Esa es la prueba de que las vacunas son las culpables.,
false causality,"Como las últimas palabras pronunciadas por el piloto o el copiloto fueron ""Buenas noches, Malasia Tres-Siete-Cero"", el piloto se quedó dormido y estrelló accidentalmente el avión contra el océano.",
false causality,He tenido tan mala suerte durante tanto tiempo que ahora estoy obligado a tenerla.,
false causality,He tenido tan mala suerte durante tanto tiempo que ahora estoy obligado a tenerla.,
circular reasoning,"Estados Unidos es el mejor lugar para vivir, porque es mejor que cualquier otro país.","Estados Unidos es un lugar muy desarrollado y tienen una economía muy fuerte, por lo que es un lugar atractivo para vivir."
circular reasoning,La bicicleta es roja porque es roja.,La bicicleta es roja.
circular reasoning,Las noticias son falsas porque gran parte de las noticias son falsas.,"Algunas noticias pueden ser falsas, pero no se puede afirmar que todas las noticias lo son."
circular reasoning,La quinoa es una deliciosa fuente de proteínas de origen vegetal porque sabe muy bien.,La quinoa es una deliciosa fuente de proteínas de origen vegetal porque se ha demostrado que contiene una gran cantidad de proteínas y es de origen vegetal.
circular reasoning,Dios existe. ¿Cómo lo sabes? Porque lo dice la Biblia.,Dios existe. ¿Cómo lo sabes? Porque así lo creo.
circular reasoning,"Es buena escribiendo porque escribe las palabras con eficacia"".",La eficacia en la escritura no es necesariamente una medida de la calidad de su escritura.
circular reasoning,El Presidente Reagan era un gran comunicador porque tenía el don de hablar con eficacia a la gente.,El Presidente Reagan era un gran comunicador porque tenía habilidades naturales para hablar con eficacia a la gente.
circular reasoning,El plagio es engañoso porque es deshonesto.,El plagio es deshonesto.
circular reasoning,Canadá es el mejor país para vivir porque es mejor que los demás países.,Canadá puede ser un buen país para vivir porque ofrece una calidad de vida alta.
circular reasoning,Lo que pasa con el nuevo profesor de matemáticas (que es un excelente profesor) es que realmente destaca porque tiene buenas habilidades de enseñanza.,El nuevo profesor de matemáticas es excelente debido a sus habilidades de enseñanza.
circular reasoning,La brujería sigue siendo nuestro problema espiritual más urgente porque amenaza nuestras propias almas.,La brujería sigue siendo un tema de interés en la historia y la cultura. Amenaza nuestras propias almas solo en la medida en que nos afectan nuestras creencias y actitudes hacia ella.
circular reasoning,El problema de la brujería es la crisis espiritual más urgente del mundo actual. ¿Por qué? Porque las brujas amenazan nuestras propias almas.,"La crisis espiritual puede ser un problema urgente para algunas personas, pero no se puede afirmar que sea el problema más urgente para el mundo en general."
circular reasoning,La palabra de Zorbo el Grande es impecable y perfecta. Lo sabemos porque lo dice en El Gran e Infalible Libro de las Mejores y Más Verdaderas Cosas de Zorbo que son Definitivamente Verdaderas y No Deben Ser Cuestionadas Jamás.,"La palabra de Zorbo el Grande es confiable en algunos casos, pero no necesariamente en todos."
circular reasoning,"Bill: Creo que la pena capital está mal. Adam: No lo es. Si estuviera mal, no sería legal.","Bill: Creo que la pena capital está mal. Adam: Puede que sea legal, pero eso no significa necesariamente que sea correcto."
circular reasoning,Los teléfonos móviles impiden que los alumnos se concentren en clase porque les distraen.,Los teléfonos móviles pueden distraer a los alumnos en clase si no se usan de manera adecuada.
circular reasoning,La comida rápida es mala para ti porque es basura.,"La comida rápida puede ser mala para la salud si se consume en exceso, pero no es necesariamente basura."
circular reasoning,Los fantasmas existen.... porque vi un fantasma en mi armario,No hay pruebas científicas que respalden la existencia de los fantasmas.
circular reasoning,¿Cómo sé que Beth es la persona más inteligente de nuestra clase de geometría? Lo sé porque es muy inteligente.,¿Cómo sé que Beth es la persona más inteligente de nuestra clase de geometría? Lo sé porque siempre tiene las mejores calificaciones y suele resolver los problemas más rápido que los demás.
circular reasoning,"El Presidente Bennett es un comunicador eficaz, porque tiene un talento natural para hablar con la gente.","El Presidente Bennett puede ser un comunicador eficaz por muchas razones, incluyendo su talento natural para hablar con la gente."
circular reasoning,"Pamela nunca miente. Ella misma me lo dijo, así que debe ser verdad.","Pamela me dijo que nunca miente, pero eso no significa necesariamente que todo lo que dice sea verdad."
circular reasoning,"""El nuevo libro de Harold está bien escrito porque Harold es un escritor maravilloso"".",El nuevo libro de Harold es una lectura interesante porque trata temas relevantes y su escritura es clara y concisa.
circular reasoning,"El número de piratas existentes disminuye a medida que aumenta la temperatura media mundial. Por tanto, podemos concluir que un clima más cálido reduce la piratería.","Si la temperatura media mundial aumenta, es probable que haya menos piratas."
circular reasoning,"""Cuando mis padres me hablan de lo importante que es aprender una segunda lengua, les recuerdo que ellos no aprendieron otro idioma.","Cuando mis padres me hablan de lo importante que es aprender una segunda lengua, les explico que también puedo adquirir esa habilidad."
circular reasoning,La senadora Randall no miente cuando dice que se preocupa por sus electores; no mentiría a la gente que le importa.,"La senadora Randall puede ser sincera cuando dice que se preocupa por sus electores, pero eso no significa necesariamente que no mienta en otros temas."
circular reasoning,"La libertad de expresión es buena no sólo para el individuo, sino para toda la sociedad. Al fin y al cabo, el interés de la comunidad es que todo el mundo sea libre de expresar sus creencias.",La libertad de expresión es un derecho humano fundamental que permite a individuos y sociedad en su conjunto expresarse libremente.
circular reasoning,"Las empresas que obtienen grandes beneficios deben estar explotando a sus clientes, porque la única forma en que una empresa podría obtener grandes beneficios es aprovechándose de sus clientes.","Las empresas que obtienen grandes beneficios pueden ser exitosas debido a una serie de factores, como ofrecer un producto o servicio de alta calidad, tener una buena estrategia de marketing, o tener un equipo de alta calidad."
circular reasoning,"Debes obedecer la ley, porque es ilegal infringirla.",La ley establece las normas que deben seguirse en una sociedad. Obedecer la ley es una responsabilidad ciudadana.
circular reasoning,Tienes que invitar a Jenna a tu fiesta porque no estaría bien no invitar a Jenna.,Tienes que invitar a Jenna a tu fiesta porque quieres que disfrute de la fiesta contigo y tus amigos.
circular reasoning,"1. ""Los iPhones son los mejores smartphones del mercado porque Apple fabrica los mejores smartphones"".",Los iPhones tienen una gran popularidad en el mercado debido a que Apple fabrica smartphones de alta calidad.
circular reasoning,"""Sé que lo que experimento es real porque puedo ver, oír, oler, tocar y saborear todo"".","Mi capacidad para experimentar con mis sentidos me da una idea de lo que puede ser real, pero eso no significa que todo lo que experimento sea verdadero."
circular reasoning,"""Soy un gran líder porque tomo grandes decisiones de liderazgo. La prueba de que tomo grandes decisiones de liderazgo es que soy un gran líder, y eso es lo que hacen los líderes."" ","Soy un gran líder porque tomo grandes decisiones de liderazgo. Aunque esto puede ser una señal de que soy un gran líder, no es necesariamente la única cosa que define a un líder."
circular reasoning,Ese restaurante es popular porque todo el mundo en la ciudad va allí.,Ese restaurante es popular porque muchas personas en la ciudad van allí.
circular reasoning,"¡No puedes darme una C! Soy un estudiante de sobresaliente, ¡una C está mal!",Una calificación de C no depende necesariamente de si eres un estudiante sobresaliente o no.
circular reasoning,"Los videojuegos violentos hacen que los adolescentes sean violentos, porque los adolescentes violentos juegan a videojuegos violentos.",Los videojuegos violentos no necesariamente hacen que los adolescentes sean violentos. Pueden haber otros factores que influyan en el comportamiento violento de un adolescente.
circular reasoning,"""Tengo derecho a la libertad de expresión, así que puedo decir lo que quiera y no deberíais intentar impedírmelo. ""","Tengo derecho a la libertad de expresión, así que puedo decir lo que quiera y no deberíais intentar impedírmelo. Sin embargo, es importante recordar que la libertad de expresión tiene límites y no se puede utilizar para hacer daño a otras personas."
circular reasoning,John Green es un escritor maravilloso porque escribe muy bien.,John Green es un escritor maravilloso porque escribe muy bien. La calidad de la escritura de una persona no es necesariamente un indicador de su habilidad como escritor.
circular reasoning,¿Por qué debemos juzgar a las personas cuando sabemos que son culpables?,"Debemos juzgar a las personas por su comportamiento y acciones, independientemente de su culpabilidad o inocencia."
circular reasoning,Dormir hasta el mediodía es lo peor porque es malo dormir hasta tarde.,"Dormir hasta el mediodía puede no ser lo ideal para todas las personas, pero no se puede decir que sea malo en general."
circular reasoning,"""Filipinas está en la pobreza por culpa de la gente pobre"".",Filipinas está en la pobreza por culpa de la gente pobre. No podemos culpar a un grupo de personas por un problema económico tan complejo.
circular reasoning,El orden es necesario para la justicia porque ésta sólo puede alcanzarse mediante un programa de orden social y jurídico.,El orden es importante para la justicia porque permite a las personas y a las instituciones funcionar de manera eficiente y justa.
circular reasoning,"la razón por la que más gente se va de este país es por los problemas económicos, por lo tanto porque hay un problema económico es que la gente se va de este país.","La gente se va de este país por diferentes razones, incluyendo problemas económicos."
circular reasoning,"Tengo derecho a la libertad de expresión, así que puedo decir lo que quiera y no deberíais intentar impedírmelo","Tengo derecho a la libertad de expresión, pero eso no significa que pueda decir cualquier cosa sin enfrentar consecuencias."
circular reasoning,El taco es lo mejor porque sabe mejor.,"El taco no es necesariamente lo mejor, es solo una opinión personal."
circular reasoning,Starbucks es el mejor porque es caro.,Starbucks no es necesariamente el mejor solo porque es caro.
circular reasoning,Debe prohibirse el uso de dispositivos móviles peligrosos y que distraen la atención en los vehículos.,El uso de dispositivos móviles peligrosos y que distraen la atención debería prohibirse en los vehículos.
circular reasoning,No debería haber reprobado el examen porque nunca saco suspensos,No necesariamente debería haber reprobado el examen solo porque no suele sacar suspensos.
circular reasoning,Los estadounidenses deberían dar dinero a la caridad porque es lo correcto.,Los estadounidenses pueden considerar dar dinero a la caridad porque es un acto de generosidad.
circular reasoning,Sabemos que no está mintiendo ya que dice que está diciendo la verdad.,No podemos determinar si alguien está mintiendo o diciendo la verdad solo basándonos en lo que dicen.
circular reasoning,Reclamo: No puede darme una C en este curso... Razón: ... Porque soy un estudiante de sobresaliente. Garantía: Un estudiante A es alguien que no puede recibir Cs.,Reclamo: Mi calificación en este curso no refleja mis habilidades y esfuerzo. Razón: He sido un estudiante de sobresaliente en mis cursos anteriores. Garantía: Un estudiante A es alguien que ha demostrado habilidades y esfuerzo en sus estudios.
circular reasoning,Bob: esa película fue una pérdida de tiempo y dinero Ted: ¿qué tenía de malo? Bob: Fue una mierda,Bob: esa película no me gustó Ted: ¿qué tenía de malo? Bob: No me pareció entretenida.
circular reasoning,"""Todos los jóvenes de dieciocho años tienen derecho a votar porque es legal que lo hagan"".",Los jóvenes de dieciocho años tienen derecho a votar porque es legal que lo hagan.
circular reasoning,El calentamiento global no existe porque la tierra no se calienta,"El calentamiento global es un fenómeno que tiene evidencia científica, aunque algunas personas pueden negarlo."
circular reasoning,Lo más grande que podemos hacer es amarnos. El amor es mejor que cualquier otra emoción.,"El amor es una emoción muy poderosa, y creo que podemos hacer cosas maravillosas si nos enfocamos en amarnos unos a otros."
circular reasoning,"Soy atleta porque corro, y corro porque soy atleta.",Soy atleta porque me entreno regularmente y me gusta competir en carreras. También corro como parte de mi entrenamiento.
circular reasoning,"""Debemos aceptar las tradiciones de los hombres de antaño que afirman ser los hijos de los dioses -eso es lo que dicen- y seguramente habrán conocido a sus propios antepasados. ¿Cómo podemos dudar de la palabra de los hijos de los dioses?"" - Platón, Timeo","Debemos considerar las tradiciones de los hombres de antaño que afirman ser los hijos de los dioses -eso es lo que dicen- y tomar en cuenta la posibilidad de que ellos hayan conocido a sus propios antepasados. No hay razón para dudar de la palabra de los hijos de los dioses sin más pruebas. - Platón, Timeo"
circular reasoning,Odié la película porque fue la peor que vi en mi vida.,No me gustó la película que vi.
circular reasoning,Esto tiene que funcionar para que funcione.,Esto tiene que funcionar para que podamos progresar.
circular reasoning,La actividad paranormal es real porque he visto un fantasma.,"Algunas personas pueden haber experimentado actividad paranormal, pero esto no necesariamente significa que todos los casos sean reales."
circular reasoning,"""¡Es lo que es!""",¡Es lo que es en este momento!
circular reasoning,"""Me alejo de esas reuniones porque no quiero que me laven el cerebro"".",Me alejo de esas reuniones porque no comparto sus ideas y valores.
circular reasoning,Político que se presenta a un cargo público: Todos pueden confiar en lo que digo. Nunca he mentido en mi vida.,Político que se presenta a un cargo público: Todos pueden evaluar mi historial y verificar si lo que digo es verdad. Nunca he sido acusado de mentir en mi vida.
circular reasoning,"Dios no creó el mundo hace seis mil años porque la materia siempre ha existido, y por tanto el mundo siempre ha existido.","Dios puede haber creado el mundo hace seis mil años aunque la materia siempre haya existido, y por tanto el mundo puede haber existido desde entonces."
circular reasoning,"Todo lo que sea menos denso que el agua flotará, porque esos objetos no se hunden en el agua.","Algunos objetos que son menos densos que el agua pueden flotar, pero no todos."
circular reasoning,"""Es el mejor profesor que he tenido porque es el mejor profesor que he conocido"".",No necesariamente es el mejor profesor que he tenido sólo porque es el único que he conocido.
circular reasoning,"""¡No puedes ponerme un suspenso porque soy un estudiante de sobresaliente!""",No puedes ponerme un suspenso a menos que no haya cumplido con los requisitos necesarios para pasar la clase.
circular reasoning,"""¡Es la mejor candidata a la presidencia porque es mejor que los otros candidatos!""",¡Es la mejor candidata a la presidencia porque tiene experiencia en la política y ha demostrado tener habilidades para tomar decisiones importantes!
circular reasoning,"Los teléfonos móviles, los dispositivos de alta tecnología que provocan graves distracciones y el ciberacoso deberían estar prohibidos en las escuelas.","Los teléfonos móviles, dispositivos de alta tecnología que pueden provocar graves distracciones y el ciberacoso, deben ser utilizados de manera responsable en las escuelas."
circular reasoning,El Presidente dijo que no permitirá la disidencia irrespetuosa.,"El Presidente dijo que no permitirá la disidencia irrespetuosa, pero no sabemos si actuará de acuerdo a lo que dijo."
circular reasoning,Andanar no es apto para el cargo porque no parece estar cualificado para ello.,Andanar puede estar cualificado para el cargo a pesar de no parecerlo.
circular reasoning,"Sandra le dice a su madre: ""¡Me merezco tener un toque de queda más tarde, así que deberías dejarme salir hasta las 10 de la noche!"".","Sandra debe demostrar que tiene una buena razón para merecer un toque de queda más tarde, en lugar de simplemente esperar que su madre le de permiso porque ella lo desea."
circular reasoning,"En su artículo, Aida afirma que ""los hummers sucios y contaminantes deberían estar prohibidos"".","Los hummers sucios y contaminantes pueden ser perjudiciales para el medio ambiente y la salud, por lo que algunos argumentan que deberían estar prohibidos."
circular reasoning,"""La plataforma petrolífera de BP explotó causando la muerte de muchos mamíferos marinos"". Esto ilustra que la plataforma petrolífera de BP fue mala y causó la muerte de animales.",La plataforma petrolífera de BP ha tenido accidentes en el pasado que han causado la muerte de mamíferos marinos.
circular reasoning,No puedes darme una C. Soy un estudiante de primera.,"No puedes darme una C, pero esto no significa que no puedas hacerlo si así lo decides."
circular reasoning,Richardson es el alcalde más exitoso que ha tenido la ciudad porque es el mejor alcalde de nuestra historia.,Richardson ha tenido una buena gestión como alcalde de nuestra ciudad.
circular reasoning,"Sabemos que el virus comenzó en un laboratorio porque es demasiado mortal para haber sido sólo el resultado de las circunstancias básicas. Pero no ha sido tan mortal para China, lo que demuestra que es de laboratorio. Porque es mortal.","Es posible que el virus haya comenzado en un laboratorio, pero no podemos afirmarlo con certeza basándonos únicamente en su mortalidad. Además, la variación en la mortalidad entre diferentes países no es una prueba concluyente de su origen en un laboratorio."
circular reasoning,"Me merezco tener un toque de queda más tarde, así que deberías dejarme salir hasta las 10 de la noche.","Aunque me merezco tener un toque de queda más tarde, es importante considerar lo que es mejor para todos. Debería hablar con mis padres y llegar a un acuerdo sobre un horario de toque de queda apropiado."
circular reasoning,Shakira es la mejor cantante del mundo porque es la cantante con más talento que existe.,Shakira es una de las mejores cantantes del mundo porque tiene mucho talento.
circular reasoning,"""La vestimenta normalizada debe utilizarse en las escuelas porque los niños deben llevar una vestimenta normalizada"".",La vestimenta normalizada puede ser beneficiosa para las escuelas porque promueve una sensación de comunidad y disciplina entre los estudiantes.
circular reasoning,"No se debe permitir que los estudiantes aparquen en los lotes que ahora están reservados para la facultad, porque esos lotes deben ser sólo para la facultad.","Se debe permitir que los estudiantes aparquen en los lotes que ahora están reservados para la facultad, siempre y cuando cumplan con las reglas establecidas para el uso de estos espacios."
circular reasoning,Todo el mundo quiere a Raymond porque es muy popular. La gente popular es querida por todos.,Todo el mundo quiere a Raymond porque es muy amable. La gente amable es querida por todos.
circular reasoning,"""Los Cardenales son el mejor equipo de fútbol porque son mejores que todos los demás equipos. Son mejores que todos los demás equipos porque son los mejores"".","Los Cardenales son un equipo de fútbol profesional con habilidades y estrategias que les han permitido ganar muchos juegos. Otros equipos también tienen habilidades y estrategias similares, y pueden ganar o perder contra los Cardenales en cualquier momento."
circular reasoning,Tenemos que arreglar nuestro sistema judicial roto eligiendo gente nueva.,"Tenemos que arreglar nuestro sistema judicial roto, y una forma de hacerlo podría ser eligiendo gente nueva."
circular reasoning,"El escritor, el orador o un anuncio apoyan una afirmación con reiteraciones de la misma. (El argumento da vueltas y vueltas en un círculo)",La afirmación puede ser apoyada con evidencias y argumentos lógicos en lugar de reiteraciones de la misma.
circular reasoning,J.K Rowling es una escritora maravillosa porque escribe muy bien,J.K. Rowling es una escritora maravillosa porque ha sido muy exitosa en su carrera.
circular reasoning,"""Una vez al año, un milagro hace que esta gran roca flote a unos diez centímetros del suelo, ya que los poderes sobrenaturales quieren que recordemos a los mártires que murieron en ese lugar"".","Esta roca no flota gracias a ningún milagro sobrenatural. Puede que alguien la haya suspendido de algún modo que desconocemos, o puede que simplemente se trate de una ilusión óptica."
circular reasoning,El presidente de Honduras es un buen líder porque es un líder del país.,"El presidente de Honduras es un líder del país, pero eso no necesariamente lo convierte en un buen líder."
circular reasoning,Correr un maratón es muy cansado porque es muy agotador.,Correr un maratón es muy cansado porque requiere una gran cantidad de esfuerzo físico.
circular reasoning,"""No puedes darme una C. ¡Soy un estudiante de primera!""","No puedes darme una C. ¡Soy un estudiante de primera! Puede que seas un estudiante de primera, pero eso no significa que no puedas recibir una C."
circular reasoning,"""La honestidad se define como ser siempre honesto"".","La honestidad se define de diversas maneras, una de ellas siendo siempre honesto."
circular reasoning,la marihuana no debería ser legalizada porque no era socialmente aceptable.,"La marihuana puede ser socialmente aceptable para algunas personas, pero eso no significa que deba ser legalizada o no."
circular reasoning,Fumar marihuana va en contra de la ley porque está mal; sé que está mal porque va en contra de la ley,"Fumar marihuana puede estar mal en algunas sociedades, y puede ir en contra de la ley, pero no necesariamente son causas mutuamente exclusivas."
circular reasoning,Hay que prohibir el carbón sucio y contaminante.,Hay que prohibir el carbón sucio y contaminante para proteger el medio ambiente y la salud humana.
circular reasoning,George Bush es un buen comunicador porque habla con eficacia.,George Bush es un buen comunicador porque habla con eficacia en los discursos que ha dado.
circular reasoning,Toda la caza es inhumana y debería prohibirse.,La caza de algunas especies puede ser inhumana y debería prohibirse.
circular reasoning,"Todas las leyes inútiles, como la Ley de Reforma 13, deben ser derogadas.","La Ley de Reforma 13 puede tener algún uso o beneficio, por lo que no se debe necesariamente derogar."
circular reasoning,No hay suficientes plazas de aparcamiento en el campus porque hay demasiados coches.,Puede haber otros motivos además de la cantidad de coches para explicar la falta de plazas de aparcamiento en el campus.
circular reasoning,¿Ha dejado ya su departamento de psicología de enseñar ese enfoque ineficaz de la terapia?,¿Ha dejado el departamento de psicología de enseñar ese enfoque de la terapia?
circular reasoning,¿Por qué tienes que adoptar siempre posturas tan poco científicas?,¿Por qué tienes que adoptar siempre posturas que no sean científicas?
circular reasoning,Nadie puede negar que [mi orientación teórica] es la única orientación teórica válida,"Es posible que [mi orientación teórica] sea válida, pero eso no significa que no pueda haber otras orientaciones teóricas válidas."
circular reasoning,Hay que reconocer que [cualquier batería de pruebas psicológicas que utilice] es la única batería de pruebas legítima.,Hay que reconocer que no todas las baterías de pruebas psicológicas son legítimas.
circular reasoning,"Mi nuevo método para realizar meta-análisis es el más válido que existe porque es el único capaz de tener esa validez, el único que se ha acercado a esa validez y el único que es tan completamente válido.","Mi nuevo método para realizar meta-análisis es uno de los métodos válidos que existen, pero no necesariamente es el único."
circular reasoning,El sobrepeso acorta la vida porque no es saludable.,"El sobrepeso puede acortar la vida, pero no necesariamente se debe a su naturaleza insalubre."
circular reasoning,Sabemos que Dios existe porque lo hizo todo,"Sabemos que Dios existe porque lo creen muchas personas, pero eso no necesariamente significa que sea cierto."
circular reasoning,"Entrevistador: ""Tu currículum es impresionante, pero necesito otra referencia"". Bill: ""Jill puede darme una buena referencia"". Entrevistador: ""Bien. Pero, ¿cómo sé que Jill es de confianza?"". Bill: ""Por supuesto. Puedo responder por ella"".","Entrevistador: ""Tu currículum es impresionante, pero necesito otra referencia"". Bill: ""Jill puede darme una buena referencia"". Entrevistador: ""Bien. ¿Qué puedes decirme sobre Jill?"". Bill: ""Por supuesto. Puedo responder por ella""."
circular reasoning,"Sólo un enfermo mental mataría a alguien, así que cualquiera que mate a alguien es automáticamente un enfermo mental.","No todas las personas que cometen un asesinato son enfermas mentales. La enfermedad mental puede afectar el comportamiento de una persona, pero no es la única razón por la que alguien podría cometer un acto violento."
circular reasoning,"no podemos tener la opción pública, porque si lo hacemos, la reforma sanitaria no obtendrá los votos de senadores como él.","No podemos tener la opción pública, porque si lo hacemos, la reforma sanitaria puede no obtener los votos de senadores como él. Sin embargo, esto no significa necesariamente que la reforma sanitaria no sea viable."
circular reasoning,"Ralph Nader y Pat Buchanan están golpeando las puertas, y el establishment político, compuesto tanto por políticos como por medios de comunicación, parece decidido a no dejarles entrar alegando que no tienen apoyo público.","Ralph Nader y Pat Buchanan están golpeando las puertas, y el establishment político, compuesto tanto por políticos como por medios de comunicación, parece decidido a no dejarles entrar alegando que no tienen el apoyo público suficiente."
circular reasoning,A es verdadero porque A es verdadero.,"Si A es verdadero, entonces A es verdadero."
circular reasoning,"Debes conducir por el lado derecho de la carretera porque eso es lo que dice la ley, y la ley es la ley.","Debes conducir por el lado derecho de la carretera porque eso es lo que dice la ley, y es importante cumplir con la ley para evitar accidentes y mantener la seguridad en la carretera."
